# STATION: LBNL1
# STATION NAME: Berkeley Lab
# LATITUDE: 37.8771
# LONGITUDE: -122.2486
# ELEVATION [ft]: 888
# STATE: CA
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,air_temp_set_2,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_fifteen_minute_set_1,solar_radiation_set_1,volt_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,Inches,W/m**2,volts,Fahrenheit,Fahrenheit,code,INHG,Fahrenheit,Fahrenheit,INHG
LBNL1,09/09/2017 22:00 PDT,29.02,68.16,68.95,66.26,0.34,122.7,2.15,0.0,0.0,13.07,56.42,,ESE,29.95,,,
LBNL1,09/09/2017 22:15 PDT,29.02,65.86,66.36,72.8,0.81,126.6,2.59,0.0,0.0,13.08,56.83,,SE,29.95,,,
LBNL1,09/09/2017 22:30 PDT,29.02,64.6,65.28,76.73,1.03,130.4,2.59,0.0,0.0,13.09,57.08,,SE,29.95,,,
LBNL1,09/09/2017 22:45 PDT,29.02,63.91,64.51,79.24,1.43,132.0,3.36,0.0,0.0,13.1,57.31,,SE,29.95,,,
LBNL1,09/09/2017 23:00 PDT,29.02,66.96,68.0,69.11,3.2,151.4,5.57,0.0,0.0,13.1,56.44,,SSE,29.95,,,
LBNL1,09/09/2017 23:15 PDT,29.02,67.03,67.41,69.37,2.84,158.6,6.04,0.0,0.0,13.09,56.61,,SSE,29.95,,,
LBNL1,09/09/2017 23:30 PDT,29.02,67.1,67.51,69.9,3.85,145.6,7.02,0.0,0.0,13.09,56.89,,SE,29.95,,,
LBNL1,09/09/2017 23:45 PDT,29.02,67.19,67.73,69.32,3.02,130.2,4.05,0.0,0.0,13.09,56.75,,SE,29.94,,,
LBNL1,09/10/2017 00:00 PDT,29.02,67.46,67.71,68.84,2.59,138.0,3.96,0.0,0.0,13.09,56.81,,SE,29.94,,,
LBNL1,09/10/2017 00:15 PDT,29.02,67.41,67.95,66.59,3.6,125.9,5.28,0.0,0.0,13.09,55.84,,SE,29.94,,,
LBNL1,09/10/2017 00:30 PDT,29.02,66.85,67.3,68.02,3.65,144.9,6.49,0.0,0.0,13.09,55.89,,SE,29.95,,,
LBNL1,09/10/2017 00:45 PDT,29.02,66.52,66.85,69.2,4.9,144.0,8.32,0.0,0.0,13.09,56.06,,SE,29.95,,,
LBNL1,09/10/2017 01:00 PDT,29.02,66.94,67.35,67.77,5.28,138.1,8.03,0.0,0.0,13.09,55.88,,SE,29.95,,,
LBNL1,09/10/2017 01:15 PDT,29.02,67.14,67.33,69.67,6.13,126.4,10.54,0.0,0.0,13.09,56.84,,SE,29.95,,,
LBNL1,09/10/2017 01:30 PDT,29.02,67.5,67.68,71.61,6.67,119.5,10.31,0.0,0.0,13.09,57.95,,ESE,29.94,,,
LBNL1,09/10/2017 01:45 PDT,29.02,67.73,68.04,71.89,5.46,117.4,9.08,0.0,0.0,13.09,58.28,,ESE,29.95,,,
LBNL1,09/10/2017 02:00 PDT,29.02,68.0,68.34,71.15,7.05,112.9,10.6,0.0,0.0,13.08,58.25,,ESE,29.95,,,
LBNL1,09/10/2017 02:15 PDT,29.02,68.25,68.5,70.73,6.64,114.5,10.31,0.0,0.0,13.08,58.33,,ESE,29.94,,,
LBNL1,09/10/2017 02:30 PDT,29.02,68.29,68.52,69.98,5.68,120.3,7.25,0.0,0.0,13.08,58.07,,ESE,29.94,,,
LBNL1,09/10/2017 02:45 PDT,29.02,68.43,68.67,68.08,5.82,114.4,8.1,0.0,0.0,13.08,57.43,,ESE,29.94,,,
LBNL1,09/10/2017 03:00 PDT,29.02,68.61,69.01,65.32,5.01,121.8,5.95,0.0,0.0,13.08,56.45,,ESE,29.94,,,
LBNL1,09/10/2017 03:15 PDT,29.02,69.01,69.51,63.21,5.21,126.9,8.79,0.0,0.0,13.08,55.92,,SE,29.94,,,
LBNL1,09/10/2017 03:30 PDT,29.01,69.03,69.46,62.75,6.35,108.3,8.55,0.0,0.0,13.07,55.74,,ESE,29.93,,,
LBNL1,09/10/2017 03:45 PDT,29.01,69.28,69.89,62.33,4.68,137.3,9.01,0.0,0.0,13.07,55.79,,SE,29.94,,,
LBNL1,09/10/2017 04:00 PDT,29.01,69.06,69.48,62.07,4.7,116.5,6.26,0.0,0.0,13.07,55.46,,ESE,29.93,,,
LBNL1,09/10/2017 04:15 PDT,29.01,69.31,69.94,60.96,4.03,129.4,6.55,0.0,0.0,13.07,55.2,,SE,29.93,,,
LBNL1,09/10/2017 04:30 PDT,29.01,69.48,70.21,61.15,3.65,132.7,6.42,0.0,0.0,13.07,55.45,,SE,29.93,,,
LBNL1,09/10/2017 04:45 PDT,29.01,69.06,69.64,61.49,4.45,128.3,8.41,0.0,0.0,13.07,55.2,,SE,29.94,,,
LBNL1,09/10/2017 05:00 PDT,29.01,69.31,69.84,61.1,5.08,118.1,6.96,0.0,0.0,13.07,55.26,,ESE,29.93,,,
LBNL1,09/10/2017 05:15 PDT,29.01,69.42,69.93,60.38,4.07,121.0,5.41,0.0,0.0,13.07,55.04,,ESE,29.93,,,
LBNL1,09/10/2017 05:30 PDT,29.01,69.76,70.36,59.33,4.03,124.3,5.88,0.0,0.0,13.07,54.88,,SE,29.93,,,
LBNL1,09/10/2017 05:45 PDT,29.01,69.46,70.09,58.92,3.62,117.0,4.97,0.0,0.0,13.07,54.4,,ESE,29.93,,,
LBNL1,09/10/2017 06:00 PDT,29.01,69.44,70.23,58.46,3.89,137.7,5.19,0.0,0.0,13.07,54.17,,SE,29.93,,,
LBNL1,09/10/2017 06:15 PDT,29.01,69.42,70.14,57.54,3.98,133.9,5.66,0.0,0.0,13.07,53.71,,SE,29.93,,,
LBNL1,09/10/2017 06:30 PDT,29.01,69.24,70.0,58.31,2.66,131.7,4.27,0.0,0.05,13.07,53.91,,SE,29.94,,,
LBNL1,09/10/2017 06:45 PDT,29.01,68.5,69.46,61.39,1.28,135.3,2.82,0.0,1.27,13.07,54.63,,SE,29.94,,,
LBNL1,09/10/2017 07:00 PDT,29.02,67.89,68.54,63.06,0.65,242.4,2.15,0.0,6.56,13.08,54.79,,WSW,29.95,,,
LBNL1,09/10/2017 07:15 PDT,29.03,67.06,67.46,67.98,3.53,138.4,5.35,0.0,15.72,13.08,56.08,,SE,29.96,,,
LBNL1,09/10/2017 07:30 PDT,29.03,67.35,67.95,66.4,0.16,99.8,1.77,0.0,43.55,13.08,55.7,,E,29.96,,,
LBNL1,09/10/2017 07:45 PDT,29.03,67.19,68.11,66.46,1.74,111.4,3.36,0.0,95.5,13.09,55.58,,ESE,29.96,,,
LBNL1,09/10/2017 08:00 PDT,29.03,69.04,69.85,60.26,0.0,,0.0,0.0,137.3,13.08,54.63,,,29.96,,,
