# STATION: LBNL1
# STATION NAME: Berkeley Lab
# LATITUDE: 37.8771
# LONGITUDE: -122.2486
# ELEVATION [ft]: 888
# STATE: CA
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,air_temp_set_2,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_fifteen_minute_set_1,solar_radiation_set_1,volt_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,Inches,W/m**2,volts,Fahrenheit,Fahrenheit,code,INHG,Fahrenheit,Fahrenheit,INHG
LBNL1,09/09/2021 22:00 PDT,28.91,57.92,57.51,86.9,6.17,145.1,10.0,0.0,0.0,13.14,54.01,,SE,29.85,,,
LBNL1,09/09/2021 22:15 PDT,28.91,57.68,57.45,87.7,4.19,170.2,7.17,0.0,0.0,13.15,54.02,,S,29.86,,,
LBNL1,09/09/2021 22:30 PDT,28.91,57.37,57.02,88.7,3.75,168.2,8.02,0.0,0.0,13.15,54.03,,SSE,29.86,,,
LBNL1,09/09/2021 22:45 PDT,28.91,57.35,56.91,88.7,3.67,166.0,5.88,0.0,0.0,13.15,54.01,,SSE,29.86,,,
LBNL1,09/09/2021 23:00 PDT,28.91,57.39,56.81,88.8,4.11,146.1,6.11,0.0,0.0,13.15,54.08,,SE,29.86,,,
LBNL1,09/09/2021 23:15 PDT,28.92,57.4,56.96,88.6,4.32,142.7,6.64,0.0,0.0,13.15,54.03,,SE,29.86,,,
LBNL1,09/09/2021 23:30 PDT,28.91,57.55,57.07,88.2,3.97,135.1,6.34,0.0,0.0,13.15,54.05,,SE,29.86,,,
LBNL1,09/09/2021 23:45 PDT,28.91,57.37,57.06,88.8,2.91,181.7,5.04,0.0,0.0,13.15,54.06,,S,29.86,,,
LBNL1,09/10/2021 00:00 PDT,28.91,57.41,57.19,89.0,3.26,158.5,5.88,0.0,0.0,13.15,54.16,,SSE,29.86,,,
LBNL1,09/10/2021 00:15 PDT,28.91,57.39,57.06,89.2,4.25,159.1,6.49,0.0,0.0,13.15,54.21,,SSE,29.86,,,
LBNL1,09/10/2021 00:30 PDT,28.92,57.46,57.11,88.9,5.96,147.7,8.09,0.0,0.0,13.15,54.18,,SSE,29.86,,,
LBNL1,09/10/2021 00:45 PDT,28.92,57.46,57.1,88.8,5.41,162.1,8.02,0.0,0.0,13.15,54.15,,SSE,29.86,,,
LBNL1,09/10/2021 01:00 PDT,28.94,57.27,57.04,89.3,3.99,173.8,7.1,0.0,0.0,13.15,54.12,,S,29.88,,,
LBNL1,09/10/2021 01:15 PDT,28.93,57.46,57.16,89.1,4.23,163.6,7.48,0.0,0.0,13.15,54.24,,SSE,29.87,,,
LBNL1,09/10/2021 01:30 PDT,28.95,57.01,56.75,90.1,3.62,171.4,7.56,0.0,0.0,13.15,54.11,,S,29.89,,,
LBNL1,09/10/2021 01:45 PDT,28.95,56.52,56.17,91.3,3.46,193.4,9.31,0.0,0.0,13.16,53.99,,SSW,29.9,,,
LBNL1,09/10/2021 02:00 PDT,28.96,56.14,55.94,92.1,6.85,230.4,12.52,0.0,0.0,13.16,53.85,,SW,29.91,,,
LBNL1,09/10/2021 02:15 PDT,28.97,55.77,55.63,93.1,8.14,236.2,14.2,0.0,0.0,13.17,53.79,,SW,29.92,,,
LBNL1,09/10/2021 02:30 PDT,28.96,55.56,55.43,93.4,5.57,230.8,12.14,0.0,0.0,13.17,53.67,,SW,29.91,,,
LBNL1,09/10/2021 02:45 PDT,28.95,55.55,55.46,93.8,2.62,222.6,5.72,0.0,0.0,13.17,53.77,,SW,29.89,,,
LBNL1,09/10/2021 03:00 PDT,28.95,55.89,55.63,94.2,3.45,142.6,5.57,0.0,0.0,13.17,54.23,,SE,29.89,,,
LBNL1,09/10/2021 03:15 PDT,28.96,55.86,55.63,94.3,2.51,182.1,6.26,0.0,0.0,13.17,54.23,,S,29.91,,,
LBNL1,09/10/2021 03:30 PDT,28.95,55.85,55.64,94.4,2.87,179.4,6.26,0.0,0.0,13.17,54.25,,S,29.89,,,
LBNL1,09/10/2021 03:45 PDT,28.94,56.11,55.81,94.5,3.32,146.1,6.79,0.0,0.0,13.17,54.54,,SE,29.88,,,
LBNL1,09/10/2021 04:00 PDT,28.96,56.18,55.86,94.5,3.37,154.6,7.17,0.0,0.0,13.17,54.61,,SSE,29.91,,,
LBNL1,09/10/2021 04:15 PDT,28.96,56.21,55.84,94.4,7.03,134.6,15.04,0.0,0.0,13.17,54.61,,SE,29.91,,,
